payment_id,ride_id,driver_id,passenger_id,fare,surge_multiplier,payment_method,driver_earnings,uber_commission,transaction_status,payment_date,is_fare_missing
cac819cd-71c2-4c58-8547-20e1b20d18b4,49edba3e-f4d5-45af-a86b-85d4dacd06b9,4cf72587-4f42-41af-9950-851a770818f6,3d774faa-e663-44fd-96a6-b7a991928189,104.21115808223443,1.5869883125843862,cash,543.9987014019747,38.12582712536585,failed,2021-03-05,False
65490c09-6871-43b1-9f50-4fd27d31f5c4,8c3cb279-b637-4ec6-b7a4-5529adccf4c6,a324a87d-62f4-42ef-af66-f819c19ed9cf,fb087c05-2184-4f38-b47c-ee71ce43986e,113.66453139482329,2.4180412615370246,credit card,585.8066652266901,28.005699304781047,failed,2020-04-19,False
7f00a3c1-5f6b-4d6b-9d26-3d7c4448d659,52796e17-4e2a-42ef-901f-9245bf52a9f5,14dfc25f-12c8-4404-9c28-30b54d542cb0,f903b81a-41c3-437f-96d8-85097f599bfd,11.884105497730214,1.1360478011483863,cash,465.7475292591912,5.676428812306975,pending,2021-04-07,False
198fd6a6-f121-4f52-9c70-f6eac79f70d5,4d9d2189-48fc-407d-a34f-ed86aec7f428,d841fa68-826d-42dc-ab1b-b0532cbf54cf,174b2d35-c4ef-40f7-bf70-30c61810d63e,70.61409569985125,1.0994510149689802,credit card,603.4225427902963,39.7504769075361,pending,2022-06-14,False
36a7a569-2231-486d-8f90-0a1eb27e09b5,f44113c2-9777-4d2e-b9f0-8e2c0136e331,7c372422-4915-4e5f-8acf-c8aaba2cc866,c3acfb28-202b-4747-9922-b187893aa86c,,1.1117420640576383,credit card,692.6481690387308,10.53070337714414,pending,2022-09-17,True
7ade3993-1a1e-434e-acbf-7c6e605abfe8,4c93369d-e334-46e0-b28b-d7a07032f811,d091d33e-52f3-4c6d-8918-06613b80e2d2,2f34063c-7415-409b-b4bd-f43c45b62a00,61.05063593158744,2.9721614383984694,cash,769.0480293321085,3.964424174487947,completed,2020-09-03,False
1e0c7234-593a-46c3-8ab2-df12570ce7f8,24628bfc-9754-4395-b624-8070a75e6bf7,4783e5da-f0c8-493e-80be-0db8ca62a722,07122588-b596-44ca-aa80-f12c806794e6,84.46690605224718,2.846963956204108,credit card,990.4816204151064,45.195799419763006,pending,2022-09-08,False
f7c98434-2449-4670-b4bd-d63adc895541,8554ed5b-747d-442b-990a-984fc9b6a2a5,f6c49bed-1c29-4d8d-a2d7-b03c198bbde9,057deda3-0699-4bea-b871-1e07e8075ff0,131.2227482871076,2.666329310386778,cash,865.1189249395192,13.873310867046552,pending,2022-05-07,False
bcdcc94b-e347-4746-887e-ee8f3cfb66b1,f2dea08b-dd45-4818-b385-792ac9ca0edb,07b7dae4-5e56-4693-bafe-82b87522a43e,304cf800-2409-415e-81ee-ec872e16eeb0,,1.63931145465325,credit card,847.957791553789,30.511558765664056,failed,2022-12-18,True
ffb4e3e7-08e3-4d54-b326-8acc2572a8fc,f71c05db-6a96-4d63-b4ae-b09ef957e8c7,26f15086-215e-4a19-8f99-5b63673e9bf8,5fc26f23-9391-45ca-8299-b0711efbefd2,38.3937941688998,2.84419106749378,credit card,697.0702940744238,7.516227025702387,failed,2023-06-04,False
e9ec9b6f-9199-4a3a-a939-6cdaa78e4b79,5603b9a8-824c-433d-8f78-241fe500057c,a3a1a9c2-2252-4080-a250-f1a0bfe8c884,fb07f5f4-d0d0-4e6f-9da9-c16ba2f9e539,38.09478472562428,2.58624770146017,credit card,512.8761036597994,23.39348146688144,pending,2020-07-30,False
